price,area,Loại BĐS:,Chiều ngang:,Chiều dài:,Số phòng ngủ:,Số phòng tắm:,Số tầng:,Vị trí:,Hướng cửa chính:,Đường/hẻm vào rộng:,Loại đường:,Loại BDS:,Pháp lý:
14 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,7,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
69 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,7,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
13 tỷ,138m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,188m²,"Nhà riêng, nhà phố",8m,23.5m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
14.5 tỷ,160m²,"Nhà riêng, nhà phố",10m,16m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
11 tỷ,120m²,"Nhà riêng, nhà phố",4.5m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
23 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,4,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
36 tỷ,196m²,"Nhà riêng, nhà phố",26m,8m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
139 tỷ,650m²,"Nhà riêng, nhà phố",24m,27m,,,5,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
11.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,20.6m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
33 tỷ,223m²,"Nhà riêng, nhà phố",10m,23m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,65m²,"Nhà riêng, nhà phố",4.5m,14.5m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
8.5 tỷ,1006m²,"Nhà riêng, nhà phố",5.4m,15.5m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
28.4 tỷ,204m²,"Nhà riêng, nhà phố",7.2m,20.6m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
13.5 tỷ,110m²,"Nhà riêng, nhà phố",6.8m,16.5m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
12.7 tỷ,88m²,"Nhà riêng, nhà phố",5m,17.5m,,,4,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
24.9 tỷ,162m²,"Nhà riêng, nhà phố",6.07m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
13.5 tỷ,110m²,"Nhà riêng, nhà phố",6.8m,16.5m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
8.5 tỷ,1006m²,"Nhà riêng, nhà phố",5.4m,15.5m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,65m²,"Nhà riêng, nhà phố",4.5m,14.5m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
60 tỷ,162m²,"Nhà riêng, nhà phố",9m,18m,,,10,Đường chính,,11m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
1.5 tỷ,226m²,"Nhà riêng, nhà phố",13m,19m,,,3,Đường chính,Đông,8m,Đường nhựa,,Có sổ đỏ
8.4 tỷ,158m²,"Nhà riêng, nhà phố",6.5m,19m,,,2,Đường chính,Đông,8m,Đường nhựa,,Có sổ đỏ
3.5 tỷ,55m²,"Nhà riêng, nhà phố",4.5m,13m,,,2,Đường chính,Nam,4m,Đường nhựa,,Có sổ đỏ
21 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,7,Đường chính,Đông Nam,15m,Đường nhựa,,Có sổ hồng
69 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
69 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
6.5 tỷ,210m²,"Nhà riêng, nhà phố",1m,1m,,,3,Đường chính,Đông Bắc,8m,Đường nhựa,,Có sổ đỏ
32 tỷ,225m²,"Nhà riêng, nhà phố",9m,25m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
69 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
15 tỷ,69m²,"Nhà riêng, nhà phố",4.8m,14.5m,,,5,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
39 tỷ,837m²,"Nhà riêng, nhà phố",33m,25m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
18.5 tỷ,112m²,"Nhà riêng, nhà phố",4.5m,25m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
18 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,,Đường chính,Nam,15m,Đường nhựa,,Có sổ hồng
36 tỷ,233m²,"Nhà riêng, nhà phố",13m,18m,,,6,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
850 tỷ,2000m²,"Nhà riêng, nhà phố",60m,35m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
10.5 tỷ,126m²,"Nhà riêng, nhà phố",6m,21m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
25 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
60 tỷ,180m²,"Nhà riêng, nhà phố",9m,20m,,,11,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
18 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,7,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
25.5 tỷ,106m²,"Nhà riêng, nhà phố",4.5m,23m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
19 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
14 tỷ,83m²,"Nhà riêng, nhà phố",5m,16.5m,,,7,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
11 tỷ,120m²,"Nhà riêng, nhà phố",4.5m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
25 tỷ,103m²,"Nhà riêng, nhà phố",4.5m,23m,,,8,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
18 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
23 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,4,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
14.5 tỷ,160m²,"Nhà riêng, nhà phố",10m,16m,,,3,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
36 tỷ,196m²,"Nhà riêng, nhà phố",26m,8m,,,2,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
139 tỷ,650m²,"Nhà riêng, nhà phố",24m,27m,,,5,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
155 tỷ,1455m²,"Nhà riêng, nhà phố",35m,45m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
19 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,1,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
28.4 tỷ,204m²,"Nhà riêng, nhà phố",7.2m,20.6m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
24.9 tỷ,162m²,"Nhà riêng, nhà phố",6.07m,26m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
11.5 tỷ,93m²,"Nhà riêng, nhà phố",4.5m,20.6m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
33 tỷ,223m²,"Nhà riêng, nhà phố",10m,23m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,81m²,"Nhà riêng, nhà phố",5m,26m,,,5,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
130 tỷ,270m²,"Nhà riêng, nhà phố",15m,18m,,,15,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
35 tỷ,275m²,"Nhà riêng, nhà phố",11m,25m,,,1,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
7.5 tỷ,63m²,"Nhà riêng, nhà phố",4.8m,13m,,,1,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
110 tỷ,400m²,"Nhà riêng, nhà phố",20m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
4.48 tỷ,73m²,"Nhà riêng, nhà phố",5m,14.6m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
4.48 tỷ,73m²,"Nhà riêng, nhà phố",5m,14.6m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.59 tỷ,55m²,"Nhà riêng, nhà phố",5.6m,9.7m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.59 tỷ,55m²,"Nhà riêng, nhà phố",5.6m,9.7m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
8.3 tỷ,80m²,"Nhà riêng, nhà phố",4.5m,17.5m,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
5.55 tỷ,93m²,"Nhà riêng, nhà phố",5m,18.5m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
10.3 tỷ,103m²,"Nhà riêng, nhà phố",6.2m,16.5m,,,3,Đường chính,Đông,8m,Đường nhựa,,Có sổ đỏ
12.3 tỷ,140m²,"Nhà riêng, nhà phố",5m,28m,,,3,Đường chính,Đông Nam,30m,Đường nhựa,,Có sổ đỏ
3.99 tỷ,85m²,"Nhà riêng, nhà phố",4.3m,21m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
5.55 tỷ,93m²,"Nhà riêng, nhà phố",5m,18.5m,,,1,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
4.58 tỷ,45m²,"Nhà riêng, nhà phố",4m,11m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
4.58 tỷ,45m²,"Nhà riêng, nhà phố",4m,11m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
6 tỷ,100m²,"Nhà riêng, nhà phố",15m,7m,2,,1,Đường chính,Đông Nam,5.5m,Đường nhựa,,
14.8 tỷ,83m²,"Nhà riêng, nhà phố",5m,15m,,,4,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
5.75 tỷ,72m²,"Nhà riêng, nhà phố",4.5m,16m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.75 tỷ,72m²,"Nhà riêng, nhà phố",4.5m,16m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
3.5 tỷ,55m²,"Nhà riêng, nhà phố",4.4m,12.5m,,,1,Đường chính,Nam,4m,Đường nhựa,,Có sổ hồng
6.75 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
10.2 tỷ,186m²,"Nhà riêng, nhà phố",8.2m,23m,,,1,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
4 tỷ,66m²,"Nhà riêng, nhà phố",4m,16.5m,,,2,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
3.6 tỷ,40m²,"Nhà riêng, nhà phố",4.4m,9m,,,4,Đường chính,Nam,6m,Đường nhựa,,Có sổ đỏ
5.9 tỷ,82m²,"Nhà riêng, nhà phố",5m,16m,2,,1,Đường chính,Đông Bắc,5.5m,Đường nhựa,,
2.95 tỷ,85m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
10.9 tỷ,101m²,"Nhà riêng, nhà phố",5m,20m,8,,5,Đường chính,Đông Nam,5.5m,Đường nhựa,,
4.2 tỷ,55m²,"Nhà riêng, nhà phố",4.5m,12.5m,,,2,Đường chính,Nam,4m,Đường nhựa,,Có sổ hồng
8.99 tỷ,72m²,"Nhà riêng, nhà phố",8.5m,8.4m,,,4,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
9.5 tỷ,99m²,"Nhà riêng, nhà phố",5m,20m,,,2,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
4.2 tỷ,55m²,"Nhà riêng, nhà phố",4.5m,12.5m,,,2,Đường chính,Nam,4m,Đường nhựa,,Có sổ hồng
3.8 tỷ,55m²,"Nhà riêng, nhà phố",4.4m,12.5m,,,1,Đường chính,Nam,4m,Đường nhựa,,Có sổ hồng
5.1 tỷ,61m²,"Nhà riêng, nhà phố",3.3m,,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
5.8 tỷ,844m²,"Nhà riêng, nhà phố",3.4m,25m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ đỏ
4.9 tỷ,62m²,"Nhà riêng, nhà phố",3.3m,18.5m,,,1,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
21.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ hồng
12.7 tỷ,90m²,"Nhà riêng, nhà phố",5m,17.8m,,,7,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
10.5 tỷ,100m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
7 tỷ,99m²,"Nhà riêng, nhà phố",5m,20m,3,,3,Đường chính,Đông Nam,7.5m,Đường nhựa,,
12.2 tỷ,175m²,"Nhà riêng, nhà phố",5.8m,30m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
7.5 tỷ,115m²,"Nhà riêng, nhà phố",5m,25m,7,,5,Đường chính,Đông Nam,5.5m,Đường nhựa,,
69 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
32 tỷ,225m²,"Nhà riêng, nhà phố",9m,25m,,,2,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
5.65 tỷ,70m²,"Nhà riêng, nhà phố",6m,15.5m,,,3,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
5.95 tỷ,70m²,"Nhà riêng, nhà phố",5.2m,14m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
9.5 tỷ,158m²,"Nhà riêng, nhà phố",5.6m,27.2m,,,2,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
10 tỷ,100m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
8.3 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,11,,5,Đường chính,Đông,5.5m,Đường nhựa,,
21.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ hồng
7.9 tỷ,94m²,"Nhà riêng, nhà phố",5.2m,18m,,,3,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
21.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,5,Đường chính,Nam,10m,Đường nhựa,,Có sổ hồng
16.95 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,4,Đường chính,Nam,30m,Đường nhựa,,Có sổ hồng
8 tỷ,80m²,"Nhà riêng, nhà phố",4m,20m,,,2,Đường chính,Tây Bắc,8m,Đường nhựa,,Có sổ đỏ
3.85 tỷ,68m²,"Nhà riêng, nhà phố",5m,13.5m,,,2,Đường chính,Tây Nam,6m,Đường nhựa,,Có sổ đỏ
11.7 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,15,,7,Đường chính,Đông,15m,Đường nhựa,,
5.4 tỷ,82m²,"Nhà riêng, nhà phố",5m,16.5m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
6.6 tỷ,93m²,"Nhà riêng, nhà phố",5m,18.2m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ hồng
5.35 tỷ,62m²,"Nhà riêng, nhà phố",4.3m,14m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
2 tỷ,70m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
890 triệu,82m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
3.8 tỷ,77m²,"Nhà riêng, nhà phố",3.8m,20m,,,2,Đường chính,Nam,5m,Đường nhựa,,Có sổ hồng
5.35 tỷ,62m²,"Nhà riêng, nhà phố",4.3m,14m,,,3,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
4.5 tỷ,60m²,"Nhà riêng, nhà phố",5m,12m,3,,3,Đường chính,Tây Bắc,7.5m,Đường nhựa,,
15.8 tỷ,120m²,"Nhà riêng, nhà phố",6m,20m,4,5,4,Đường chính,Bắc,10m,Đường nhựa,,
8.5 tỷ,105m²,"Nhà riêng, nhà phố",5m,21m,,,5,Đường chính,Đông Nam,30m,Đường nhựa,,Có sổ đỏ
7.3 tỷ,143m²,"Nhà riêng, nhà phố",5m,29m,,,2,Đường chính,Bắc,6m,Đường nhựa,,Có sổ đỏ
4.8 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,3,,1,Đường chính,Đông Nam,5.5m,Đường nhựa,,
6.4 tỷ,105m²,"Nhà riêng, nhà phố",6.7m,15m,2,2,2,Đường chính,Đông,5.5m,Đường nhựa,,
3.49 tỷ,84m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Đông Nam,5m,Đường nhựa,,Có sổ đỏ
50 tỷ,358m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,23m,Đường nhựa,,Có sổ đỏ
50 tỷ,358m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,23m,Đường nhựa,,Có sổ đỏ
8 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,4,3,2,Đường chính,Nam,10.5m,Đường nhựa,,
7.99 tỷ,80m²,"Nhà riêng, nhà phố",4m,20m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
11 tỷ,98m²,"Nhà riêng, nhà phố",5m,20m,2,,1,Đường chính,Đông,10.5m,Đường nhựa,,
3.45 tỷ,81m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
3.45 tỷ,81m²,"Nhà riêng, nhà phố",,,,,,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
79 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
76 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
17.5 tỷ,90m²,"Nhà riêng, nhà phố",4.5m,20m,,,1,Đường chính,Nam,30m,Đường nhựa,,Có sổ đỏ
13 tỷ,138m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,10m,Đường nhựa,,Có sổ đỏ
5.4 tỷ,82m²,"Nhà riêng, nhà phố",5m,16.5m,,,2,Đường chính,Nam,8m,Đường nhựa,,Có sổ hồng
7.7 tỷ,100m²,"Nhà riêng, nhà phố",5m,20m,4,5,4,Đường chính,Đông Bắc,7.5m,Đường nhựa,,
5.9 tỷ,109m²,"Nhà riêng, nhà phố",,,,,3,Đường chính,Nam,5m,Đường nhựa,,Có sổ đỏ
5.2 tỷ,72m²,"Nhà riêng, nhà phố",5m,14m,,,4,Đường chính,Đông,5m,Đường nhựa,,Có sổ đỏ
21.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,5,Đường chính,Đông,30m,Đường nhựa,,Có sổ đỏ
4.7 tỷ,90m²,"Nhà riêng, nhà phố",5m,18m,,,3,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
3.8 tỷ,85m²,"Nhà riêng, nhà phố",5m,17m,,,3,Đường chính,Nam,1m,Đường nhựa,,Có sổ đỏ
9.3 tỷ,93m²,"Nhà riêng, nhà phố",5m,187m,2,3,2,Đường chính,Nam,3m,Đường nhựa,,
21.5 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,5,Đường chính,Nam,30m,Đường nhựa,,Có sổ hồng
12 tỷ,125m²,"Nhà riêng, nhà phố",5m,25m,,,3,Đường chính,Đông,30m,Đường nhựa,,Có sổ đỏ
6.3 tỷ,86m²,"Nhà riêng, nhà phố",4.5m,19m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
6.3 tỷ,86m²,"Nhà riêng, nhà phố",4.5m,19m,,,3,Đường chính,Nam,11m,Đường nhựa,,Có sổ đỏ
11 tỷ,110m²,"Nhà riêng, nhà phố",6m,18m,,,2,Đường chính,Nam,7m,Đường nhựa,,Có sổ hồng
4.5 tỷ,110m²,"Nhà riêng, nhà phố",5.5m,20m,,,1,Đường chính,Nam,6m,Đường nhựa,,Có sổ hồng
19.9 tỷ,162m²,"Nhà riêng, nhà phố",5m,26m,,,3,Đường chính,Nam,50m,Đường nhựa,,Có sổ đỏ
19.9 tỷ,162m²,"Nhà riêng, nhà phố",5m,26m,,,3,Đường chính,Nam,50m,Đường nhựa,,Có sổ đỏ
6.1 tỷ,95m²,"Nhà riêng, nhà phố",5m,19m,,,3,Đường chính,Tây,6m,Đường nhựa,,Có sổ đỏ
34 tỷ,140m²,"Nhà riêng, nhà phố",7m,20m,,,7,Đường chính,Nam,15m,Đường nhựa,,Có sổ đỏ
76 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
76 tỷ,290m²,"Nhà riêng, nhà phố",10m,29m,,,7,Đường chính,Nam,8m,Đường nhựa,,Có sổ đỏ
