Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Pháp lý,Nội thất
186 m²,"6,7 tỷ",2 tầng,4 phòng,4 phòng,16.0521968442362,108.152672447154,10 m,4 m,,,Sổ đỏ/ Sổ hồng,
54 m²,"2,95 tỷ",2 tầng,2 phòng,2 phòng,16.0655888981644,108.187209360965,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"79,9 m²","3,61 tỷ",,2 phòng,1 phòng,16.0923728942871,108.126586914063,,,,,Sổ đỏ/ Sổ hồng.,Cơ bản.
100 m²,"6,2 tỷ",3 tầng,3 phòng,4 phòng,16.0176673504703,108.231154554235,5 m,"7,5 m",Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
272 m²,62 tỷ,10 tầng,32 phòng,32 phòng,16.0696226524358,108.243538899757,10 m,"10,5 m",,,Sổ đỏ/ Sổ hồng.,
"66,6 m²","8,13 tỷ",,2 phòng,2 phòng,16.0555896759033,108.223556518555,,,Bắc,,Sổ đỏ/ Sổ hồng,Cơ bản
92 m²,"6,15 tỷ",2 tầng,5 phòng,,16.0862220251095,108.216333104077,"5,3 m",7 m,Tây - Nam,,,
85 m²,"3,39 tỷ",3 tầng,3 phòng,3 phòng,16.0702784119167,108.180076887044,"4,6 m",3 m,Đông - Bắc,,Sổ đỏ/ Sổ hồng,
54 m²,"2,95 tỷ",2 tầng,2 phòng,2 phòng,16.0655888981644,108.187209360965,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"95,9 m²","6,38 tỷ",,3 phòng,3 phòng,16.0883827209473,108.228889465332,,,Đông - Nam,Tây - Nam,Hợp đồng mua bán,
100 m²,"6,2 tỷ",3 tầng,3 phòng,4 phòng,16.0176673504703,108.231154554235,5 m,"7,5 m",Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
272 m²,62 tỷ,10 tầng,32 phòng,32 phòng,16.0696226524358,108.243538899757,10 m,"10,5 m",,,Sổ đỏ/ Sổ hồng.,
50 m²,"5,25 tỷ",2 tầng,2 phòng,2 phòng,16.0683264074481,108.230434107098,5 m,10 m,,,Sổ đỏ/ Sổ hồng,Không nội thất
50 m²,"5,25 tỷ",2 tầng,2 phòng,2 phòng,16.0683264074481,108.230434107098,5 m,10 m,,,Sổ đỏ/ Sổ hồng,Không nội thất
80 m²,"6,5 tỷ",3 tầng,4 phòng,4 phòng,16.0688529442596,108.235248896528,45 m,55 m,,,Sổ đỏ/ Sổ hồng,
120 m²,"14,5 tỷ",4 tầng,5 phòng,7 phòng,16.033109664917,108.224235534668,6 m,75 m,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
"71,4 m²","4,7 tỷ",1 tầng,3 phòng,1 phòng,16.0602424,108.2430528,,6 m,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ
40 m²,"2,58 tỷ",2 tầng,1 phòng,2 phòng,16.0537847665442,108.211228149158,,3 m,,,Sổ đỏ/ Sổ hồng,
68 m²,"2,7 tỷ",2 tầng,3 phòng,2 phòng,16.04816526095,108.147077485219,5 m,3 m,,,Sổ đỏ/ Sổ hồng.,Không xác định.
186 m²,"6,7 tỷ",2 tầng,4 phòng,4 phòng,16.0521968442362,108.152672447154,10 m,4 m,,,Sổ đỏ/ Sổ hồng,
100 m²,"5,9 tỷ",1 tầng,1 phòng,1 phòng,16.0466218583835,108.24160541287,"8,4 m","7,5 m",,,Sổ đỏ/ Sổ hồng,Cơ bản.
190 m²,26 tỷ,5 tầng,15 phòng,17 phòng,16.0793647,108.2336744,"8,5 m",,Tây,Tây,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ đẹp
100 m²,"5,95 tỷ",2 tầng,3 phòng,2 phòng,16.0263387911441,108.24220914413,5 m,75 m,,,Sổ đỏ/ Sổ hồng,
537 m²,Thỏa thuận,2 tầng,2 phòng,2 phòng,15.9926319122314,108.269371032715,,30 m,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
77 m²,75 triệu/m²,,2 phòng,2 phòng,16.0883827209473,108.228889465332,,,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,
116 m²,"6,25 tỷ",3 tầng,3 phòng,4 phòng,16.0943409915726,108.226855234579,5 m,"5,5 m",,,Sổ đỏ/ Sổ hồng,Đầy đủ.
122 m²,41 tỷ,10 tầng,22 phòng,24 phòng,16.0523450259552,108.24496835056,17 m,"7,5 m",,,Sổ đỏ/ Sổ hồng,
43 m²,"3,33 tỷ",4 tầng,2 phòng,,16.0684284,108.2015687,,,,,,
50 m²,"2,2 tỷ",1 tầng,,1 phòng,16.0923728942871,108.126586914063,8 m,"7,5 m",Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng.,Cơ bản.
"48,6 m²","2,92 tỷ",,2 phòng,1 phòng,16.0597953796387,108.230476379395,,,Tây,Đông,Sổ đỏ/ Sổ hồng,Không nội thất
250 m²,Thỏa thuận,,5 phòng,5 phòng,16.0779544,108.2442083,,,Đông,,,
250 m²,Thỏa thuận,,5 phòng,5 phòng,16.0779544,108.2442083,,,Đông,,,
600 m²,Thỏa thuận,3 tầng,3 phòng,3 phòng,15.9926319122314,108.269371032715,20 m,18 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ
250 m²,"16,89 tỷ",1 tầng,1 phòng,1 phòng,16.0299034118652,108.240165710449,10 m,25 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ
55 m²,"6,9 tỷ",3 tầng,3 phòng,2 phòng,16.0603014,108.2362951,4 m,"7,5 m",Đông,Đông,Sổ đỏ/ Sổ hồng,Cơ bản.
81 m²,"5,55 tỷ",3 tầng,3 phòng,3 phòng,16.0377344700772,108.215052180985,"4,5 m","5,5 m",,,Sổ đỏ/ Sổ hồng,Không nội thất.
111 m²,"18,8 tỷ",6 tầng,,,16.050781,108.2329,5 m,,,,Sổ đỏ/ Sổ hồng,
111 m²,"18,8 tỷ",6 tầng,,,16.050781,108.2329,5 m,,,,Sổ đỏ/ Sổ hồng,
212 m²,"11,9 tỷ",1 tầng,1 phòng,1 phòng,16.0558747173513,108.239479287353,11 m,5 m,,,Sổ đỏ/ Sổ hồng.,
121 m²,"2,85 tỷ",2 tầng,3 phòng,3 phòng,16.0520577149718,108.152329281952,55 m,5 m,Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Cơ bản
68 m²,"4,25 tỷ",3 tầng,4 phòng,4 phòng,16.0582328546527,108.209634897755,,3 m,Đông - Bắc,Đông - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản
105 m²,"6,9 tỷ",3 tầng,4 phòng,4 phòng,16.0802099,108.163686,5 m,"5,5 m",Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ
60 m²,"4,5 tỷ",4 tầng,4 phòng,5 phòng,16.0523269,108.2177412,4 m,3 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"67,8 m²",Thỏa thuận,,2 phòng,2 phòng,16.0883827209473,108.228889465332,,,Đông - Nam,Tây - Bắc,,
60 m²,9 tỷ,4 tầng,7 phòng,7 phòng,16.0475497938053,108.246741261697,,"5,5 m",Tây - Nam,,Sổ đỏ/ Sổ hồng,
180 m²,"14,5 tỷ",,,,16.0399375919677,108.237804774776,10 m,,,,Sổ đỏ/ Sổ hồng,
252 m²,"12,5 tỷ",3 tầng,6 phòng,6 phòng,16.093573,108.1263,10 m,33 m,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Không nội thất
"49,4 m²",53 triệu/m²,,1 phòng,1 phòng,16.05078125,108.232902526855,,,Tây,Đông,,
64 m²,"8,5 tỷ",4 tầng,,,16.0562423079507,108.21866210336,,,,,,
120 m²,"2,5 tỷ",2 tầng,3 phòng,2 phòng,16.026356752935,108.187903451604,,,Tây - Bắc,,Sổ đỏ/ Sổ hồng,"Cơ bản nhà có sẵn nội thất chỉ cần xách vali vào ở (tivi, điều hoà, tủ áo, giường, bàn ghế, tủ bếp)."
235 m²,70 tỷ,2 tầng,1 phòng,1 phòng,16.0677459935256,108.215746574155,10 m,"10,5 m",Đông - Bắc,Đông - Bắc,Sổ đỏ/ Sổ hồng,Cơ bản
"80,1 m²","3,45 tỷ",,,,15.9832564133308,108.237349981247,,,,,,
100 m²,Thỏa thuận,3 tầng,3 phòng,,16.0282694902716,108.220993819853,,,,,,
100 m²,"6,4 tỷ",3 tầng,4 phòng,3 phòng,16.0299034118652,108.240165710449,5 m,"7,5 m",Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ.
55 m²,"4,15 tỷ",3 tầng,4 phòng,4 phòng,16.0505653419623,108.215020784324,5 m,3 m,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.
110 m²,"5,2 tỷ",2 tầng,3 phòng,2 phòng,16.0798600399706,108.218153170586,5 m,"3,5 m",,,Sổ đỏ/ Sổ hồng,Đầy đủ
105 m²,39 tỷ,4 tầng,5 phòng,5 phòng,16.063836,108.2234422,"4,6 m",,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ
69 m²,"7,7 tỷ",4 tầng,5 phòng,4 phòng,16.0800351,108.2204507,"5,6 m",,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ.
132 m²,"8,9 tỷ",3 tầng,3 phòng,3 phòng,16.0456253,108.2393319,6 m,,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ
69 m²,"7,7 tỷ",4 tầng,5 phòng,4 phòng,16.0800351,108.2204507,"5,6 m",,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ.
132 m²,"8,9 tỷ",3 tầng,3 phòng,3 phòng,16.0456253,108.2393319,6 m,,Tây,,Sổ đỏ/ Sổ hồng,Đầy đủ
150 m²,"6,2 tỷ",4 tầng,2 phòng,1 phòng,21.0163377,105.7840464,"7,5 m","5,5 m",Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng.,
90 m²,"4,2 tỷ",1 tầng,2 phòng,1 phòng,16.1045891774003,108.259080359524,,"5,5 m",Đông,,Sổ đỏ/ Sổ hồng,
"49,5 m²",Thỏa thuận,,1 phòng,1 phòng,16.0883827209473,108.228889465332,,,Đông - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,
110 m²,"7,6 tỷ",3 tầng,3 phòng,3 phòng,16.0921192169189,108.225578308105,,"10,5 m",Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Không nội thất
130 m²,"14,5 tỷ",3 tầng,6 phòng,6 phòng,16.0783341392075,108.236459969098,"5,1 m",15 m,,,Sổ đỏ/ Sổ hồng,
292 m²,"5,4 tỷ",2 tầng,5 phòng,3 phòng,,,12 m,5 m,Đông - Bắc,Đông - Bắc,Sổ đỏ/ Sổ hồng,
247 m²,"8,2 tỷ",2 tầng,3 phòng,2 phòng,16.0500227,108.1727379,14 m,"7,5 m",Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,
76 m²,Thỏa thuận,4 tầng,5 phòng,5 phòng,16.034026202537,108.215511639288,5 m,5 m,Đông,Đông,Sổ đỏ/ Sổ hồng,Đầy đủ.
125 m²,9 tỷ,,,,16.0689806,108.1468399,5 m,"10,5 m",Đông - Bắc,Đông - Bắc,Sổ đỏ/ Sổ hồng,
"134,6 m²","9,5 tỷ",3 tầng,5 phòng,5 phòng,16.0388154589493,108.237927281844,7 m,"5,5 m",Tây - Bắc,Tây - Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ
50 m²,Thỏa thuận,4 tầng,4 phòng,4 phòng,16.0594924114917,108.218147453968,"5,5 m",10 m,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ.
84 m²,"6,8 tỷ",3 tầng,3 phòng,3 phòng,16.0267357951359,108.211605719954,5 m,"7,5 m",,,Sổ đỏ/ Sổ hồng,Cơ bản
80 m²,"3,25 tỷ",2 tầng,3 phòng,4 phòng,16.0367225360673,108.186668285822,5 m,6 m,Tây,Tây,Sổ đỏ/ Sổ hồng,Đầy đủ
300 m²,Thỏa thuận,,3 phòng,4 phòng,16.1083824867514,108.257954029676,,"7,5 m",Tây - Bắc,,,
62 m²,"2,3 tỷ",1 tầng,1 phòng,1 phòng,16.0923728942871,108.126586914063,"6,36 m",,,,,
300 m²,Thỏa thuận,,,,16.1292233871751,108.278648983118,,,,,,
315 m²,"27,5 tỷ",2 tầng,17 phòng,17 phòng,16.043304224688,108.244536294689,10 m,"7,5 m",,,Sổ đỏ/ Sổ hồng,Cơ bản
80 m²,"3,25 tỷ",2 tầng,3 phòng,4 phòng,16.0367225360673,108.186668285822,5 m,6 m,Tây,Tây,Sổ đỏ/ Sổ hồng,Đầy đủ
300 m²,Thỏa thuận,,3 phòng,4 phòng,16.1083824867514,108.257954029676,,"7,5 m",Tây - Bắc,,,
62 m²,"2,3 tỷ",1 tầng,1 phòng,1 phòng,16.0923728942871,108.126586914063,"6,36 m",,,,,
300 m²,Thỏa thuận,,,,16.1292233871751,108.278648983118,,,,,,
315 m²,"27,5 tỷ",2 tầng,17 phòng,17 phòng,16.043304224688,108.244536294689,10 m,"7,5 m",,,Sổ đỏ/ Sổ hồng,Cơ bản
211 m²,Thỏa thuận,,,,16.0600972,108.2128406,9 m,,,,,
290 m²,Thỏa thuận,6 tầng,,,16.0904766006812,108.250326321374,10 m,,,,,
95 m²,8 tỷ,3 tầng,3 phòng,4 phòng,16.0356445,108.21037,,"7,5 m",Đông,,,
290 m²,Thỏa thuận,6 tầng,,,16.090933197408,108.250433903361,10 m,,,,,
108 m²,"4,78 tỷ",2 tầng,3 phòng,,16.0609845,108.1698084,6 m,,,,,
290 m²,Thỏa thuận,6 tầng,,,16.090933197408,108.250433903361,10 m,,,,,
81 m²,"6,1 tỷ",3 tầng,3 phòng,3 phòng,16.0247035576143,108.21363051309,,"10,5 m",,,Sổ đỏ/ Sổ hồng,
100 m²,"3,55 tỷ",,2 phòng,,16.0085739,108.1994056,,,Tây - Bắc,,,
100 m²,"6,5 tỷ",2 tầng,4 phòng,2 phòng,16.0349777,108.2088378,,"7,5 m",,,,
71 m²,"3,8 tỷ",3 tầng,3 phòng,3 phòng,16.0600877,108.217172,"4,6 m",,,,,
106 m²,"2,17 tỷ",,,,16.0842647391317,108.151169484629,3 m,3 m,,,Sổ đỏ/ Sổ hồng,
115 m²,"6,8 tỷ",4 tầng,12 phòng,,16.0471029018065,108.249405402368,"7,2 m",,,,,Nội thất là có thể kinh doanh ngay.
120 m²,"7,8 tỷ",5 tầng,4 phòng,4 phòng,16.0411712733647,108.218386769011,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
60 m²,"3,45 tỷ",3 tầng,4 phòng,4 phòng,16.0639871935373,108.166673127131,,,Tây - Nam,,Sổ đỏ/ Sổ hồng,Đầy đủ
120 m²,"7,8 tỷ",5 tầng,4 phòng,4 phòng,16.0411712733647,108.218386769011,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
60 m²,"3,45 tỷ",3 tầng,4 phòng,4 phòng,16.0639871935373,108.166673127131,,,Tây - Nam,,Sổ đỏ/ Sổ hồng,Đầy đủ
100 m²,"4,15 tỷ",2 tầng,3 phòng,2 phòng,16.0014697448343,108.217126963436,5 m,"5,5 m",,,Hợp đồng mua bán,Đầy đủ.
105 m²,"4,5 tỷ",3 tầng,,,16.0935726165771,108.12629699707,5 m,33 m,Đông - Nam,,,
80 m²,"3,4 tỷ",3 tầng,3 phòng,4 phòng,16.0464920275041,108.18389788443,,5 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ
63 m²,"5,5 tỷ",3 tầng,3 phòng,,16.0455621235749,108.222457123521,6 m,5 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"83,4 m²","8,9 tỷ",3 tầng,4 phòng,3 phòng,16.03239400849,108.228922954481,,,,,,Đầy đủ.
"149,7 m²","7,1 tỷ",3 tầng,,,16.0935726165771,108.12629699707,,,Đông - Bắc,,Sổ đỏ/ Sổ hồng.,Đầy đủ.
118 m²,"11,8 tỷ",2 tầng,3 phòng,3 phòng,16.0411971730389,108.245318637426,"5,8 m",7 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"82,5 m²","5,6 tỷ",3 tầng,4 phòng,3 phòng,16.0378077883653,108.21466643667,5 m,"5,5 m",Tây,Tây,Sổ đỏ/ Sổ hồng,Đầy đủ
1.220 m²,650 tỷ,25 tầng,,,16.0470176977131,108.249893015777,,,,,,
85 m²,"5,95 tỷ",3 tầng,3 phòng,3 phòng,16.0224568525924,108.208726828472,5 m,"7,5 m",,,Sổ đỏ/ Sổ hồng,Đầy đủ
150 m²,"14,8 tỷ",,5 phòng,,16.042387008667,108.222229003906,6 m,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.
289 m²,75 tỷ,5 tầng,,,16.1033644958439,108.2820985674,,,,,Sổ đỏ/ Sổ hồng,
70 m²,"12,5 tỷ",3 tầng,3 phòng,5 phòng,16.0513088338488,108.245379742628,5 m,"20,5 m",Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ.
"333,6 m²",16 triệu/m²,,15 phòng,,16.1331719,108.1196263,,,,,Sổ đỏ/ Sổ hồng,
70 m²,"4,75 tỷ",1 tầng,2 phòng,,16.0630320317584,108.220777569274,"4,5 m",5 m,,,Sổ đỏ/ Sổ hồng.,Đầy đủ
62 m²,"5,1 tỷ",3 tầng,3 phòng,3 phòng,16.0432944348215,108.219065028032,,"7,5 m",,,Sổ đỏ/ Sổ hồng,Đầy đủ.
105 m²,"16,5 tỷ",1 tầng,1 phòng,1 phòng,16.0478786849117,108.24675303697,8 m,,Đông - Nam,,Sổ đỏ/ Sổ hồng,
108 m²,"4,95 tỷ",3 tầng,2 phòng,3 phòng,15.9832468032837,108.252090454102,6 m,10 m,Đông,Đông,Sổ đỏ/ Sổ hồng.,
100 m²,"2,85 tỷ",2 tầng,3 phòng,2 phòng,16.0480025972685,108.181203293133,5 m,3 m,,,Sổ đỏ/ Sổ hồng,
100 m²,"4,5 tỷ",3 tầng,3 phòng,3 phòng,16.0001379578136,108.212777518049,,,Tây,Tây,Sổ đỏ/ Sổ hồng,
100 m²,8 tỷ,3 tầng,3 phòng,3 phòng,16.0326342958238,108.229158658461,5 m,75 m,Bắc,Bắc,Sổ đỏ/ Sổ hồng,Đầy đủ
250 m²,"5,9 tỷ",3 tầng,3 phòng,3 phòng,16.0164479108272,108.223116472363,75 m,75 m,Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ
50 m²,"10,8 tỷ",6 tầng,,,16.0497496,108.2407263,"4,6 m",,,,,
750 m²,35 tỷ,,4 phòng,4 phòng,16.0170230865479,108.260246276855,,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ
"97,5 m²","6,6 tỷ",2 tầng,4 phòng,2 phòng,16.0349777,108.2088378,5 m,"7,5 m",Đông - Nam,,Sổ đỏ/ Sổ hồng.,
484 m²,27 tỷ,2 tầng,2 phòng,2 phòng,15.9926319122314,108.269371032715,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ
"76,3 m²","7,19 tỷ",3 tầng,3 phòng,4 phòng,16.0712343129448,108.189550917882,5 m,10 m,Nam,Nam,Sổ đỏ/ Sổ hồng,Đầy đủ.
"87,5 m²","7,95 tỷ",3 tầng,4 phòng,3 phòng,16.0692285,108.235653,5 m,"5,5 m",Tây - Nam,,Sổ đỏ/ Sổ hồng.,Đầy đủ.
56 m²,"6,85 tỷ",4 tầng,4 phòng,4 phòng,16.0702394401628,108.243462614474,5 m,55 m,,,Sổ đỏ/ Sổ hồng,Đầy đủ.
85 m²,"5,5 tỷ",2 tầng,2 phòng,2 phòng,16.0223374875494,108.210776967512,5 m,8 m,,,Sổ đỏ/ Sổ hồng.,Cơ bản.
105 m²,"3,85 tỷ",3 tầng,3 phòng,3 phòng,16.045064721689,108.167717536199,,"7,5 m",,,Sổ đỏ/ Sổ hồng,Đầy đủ
108 m²,19 tỷ,3 tầng,4 phòng,4 phòng,16.0883827209473,108.228889465332,6 m,"7,5 m",Đông,Đông,,
100 m²,"4,2 tỷ",3 tầng,,,16.0935726165771,108.12629699707,5 m,15 m,Tây - Nam,,Sổ đỏ/ Sổ hồng,Không nội thất
95 m²,"5,15 tỷ",3 tầng,4 phòng,3 phòng,15.9872330748719,108.196991473006,5 m,"10,5 m",Bắc,Bắc,,
100 m²,"4,7 tỷ",2 tầng,3 phòng,2 phòng,16.0058596320874,108.224027904577,,,Đông - Bắc,,Sổ đỏ/ Sổ hồng,
45 m²,2 tỷ,1 tầng,1 phòng,1 phòng,16.0923728942871,108.126586914063,7 m,"14,5 m",Đông - Nam,Đông - Nam,Sổ đỏ/ Sổ hồng,
52 m²,"7,5 tỷ",4 tầng,4 phòng,4 phòng,16.0592606371375,108.218180140747,4 m,"5,5 m",Đông,,Sổ đỏ/ Sổ hồng.,Cơ bản
"188,4 m²","26,3 tỷ",3 tầng,,,16.0656209,108.1872238,"8,33 m",,Nam,Nam,Sổ đỏ/ Sổ hồng,
390 m²,155 triệu/m²,3 tầng,,,16.0657285,108.1991939,14 m,,Nam,,Sổ đỏ/ Sổ hồng,Không nội thất
"327,1 m²",52 tỷ,3 tầng,,,16.0657285,108.1991939,,,Nam,,Sổ đỏ/ Sổ hồng.,Đầy đủ.
