Address,Prices,Area,toFace,type,certificate,width,length,floors
" Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 3,15 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",22m,2
" Đường Nguyễn Như Đỗ, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng"," 1,85 tỷ ", 120 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,24m,1
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,69 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",16m,2
" Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"," 3,65 tỷ ", 90 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,18m,3
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 2,83 tỷ ", 110 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,22m,2
" Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 1,49 tỷ ", 36 m2,Tây,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,1m",---,---
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 5,35 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2
" Đường Lỗ Giáng 6, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Phan Văn Trị, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 6,35 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,5m",20m,3
" Đường Trần Văn Cẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,96 tỷ ", 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,30m,3
" Đường Đặng Văn Ngữ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,8 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Bình Hòa 4, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 8,5 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,4
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 6 tỷ , 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,1
" Đường Bình Hòa 14, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,15 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3
" Đường Nguyễn Khoa Chiêm, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 7,5 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,7m",13m,2
" Đường Hoàng Đạo Thúy, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng", 5 tỷ , 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,3
" Đường Trường Chinh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 67 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"11,07m","6,91m",4
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 18,8 tỷ ", 170 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,34m,4
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,4 tỷ ", 95 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,19m,3
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3
" Đường Nguyễn Nho Túy, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,55 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng", 14 tỷ , 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,15m,2
" Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 24 tỷ , 250 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,17m,2
" Đường Bình Thái 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,85 tỷ ", 126 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,21m,2
" Đường Liêm Lạc 15, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" đường Quách Thị Trang Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,2
" Đường Trần Kim Xuyến, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 5,6 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Trần Văn Cẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,8 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Trương Quang Giao, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,3 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 11 tỷ , 140 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,9m",25m,1
" Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,2 tỷ ", 145 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,24m,3
" Đường Bình Thái 3, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,3 tỷ ", 135 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,4m",25m,2
" Đường Nguyễn Trung Ngạn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 20 tỷ , 310 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"11,2m",26m,3
" Đường Trần Kim Bảng, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,4 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,2
" Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,1 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,75 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 17,9 tỷ ", 160 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,7m",21m,3
" Đường Cẩm Bắc 9, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2
" Đường Liêm Lạc 21, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Bình Hòa 2, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,15m,1
" Đường Trường Chinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,5 tỷ ", 85 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,21m,1
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,8 tỷ ", 90 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,18m,2
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,15 tỷ ", 110 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,9m,12m,1
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,7 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3
" Đường Phạm Viết Chánh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 78 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,13m,2
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,2 tỷ ", 76 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,6m",16m,2
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,1 tỷ ", 84 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,21m,2
" Đường Bùi Xương Trạch, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,1
" Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 1,5 tỷ ", 66 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"16,5m",1
" Đường Triệu Quốc Đạt, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,"13,5m",2
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,05 tỷ ", 56 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,8m,2
" Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng", 15 tỷ , 62 m2,_,Nhà mặt tiền,---,"5,5m",12m,5
" Đường Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 78 m2,_,Nhà mặt tiền,---,"5,5m","14,5m",3
" Đường Phước Mỹ 3, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 7,3 tỷ ", 66 m2,_,Nhà mặt tiền,---,"4,1m",16m,3
" Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 68 m2,_,Nhà mặt tiền,---,5m,"13,5m",3
" Đường Nguyễn Hữu Thọ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 16,5 tỷ ", 125 m2,_,Nhà mặt tiền,---,5m,25m,4
" Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 14,2 tỷ ", 125 m2,_,Nhà mặt tiền,---,5m,24m,4
" Đường Dương Bích Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,995 tỷ ", 70 m2,_,Nhà mặt tiền,---,5m,14m,2
" Đường Phan Đăng Lưu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 16 tỷ , 100 m2,_,Nhà mặt tiền,---,5m,20m,5
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 100 tỷ , 450 m2,_,Nhà mặt tiền,---,15m,30m,14
" Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 9 tỷ , 112 m2,_,Nhà mặt tiền,---,5m,22m,3
" Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng", 13 tỷ , 90 m2,_,Nhà mặt tiền,---,"4,5m",20m,6
" Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 12 tỷ , 135 m2,_,Nhà mặt tiền,---,"5,37m",25m,2
" Đường Nguyễn Văn Linh, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 5,8 tỷ ", 63 m2,_,Nhà trong hẻm,---,"4,2m",15m,4
" Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 9,8 tỷ ", 105 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,5
" Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 4,09 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,11m,1
" Đường Trần Xuân Lê, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 4,5 tỷ ", 55 m2,_,Nhà trong hẻm,---,5m,11m,2
" Đường Ông Ích Đường, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,3 tỷ ", 125 m2,_,Nhà trong hẻm,---,"7,8m",16m,1
" Đường Thái Phiên, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 8,3 tỷ ", 82 m2,_,Nhà trong hẻm,---,"4,5m","18,4m",3
" Đường An Thượng 24, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,5 tỷ ", 106 m2,_,Nhà trong hẻm,---,7m,15m,1
" Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 7,1 tỷ ", 143 m2,_,Nhà trong hẻm,---,8m,18m,2
" Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 68 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","15,3m",4
" Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 16 tỷ , 170 m2,_,Nhà mặt tiền,---,6m,20m,2
" Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 24,45 tỷ ", 123 m2,_,Nhà mặt tiền,---,"7,1m",18m,2
" Đường Hóa Sơn 2, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 3,45 tỷ ", 56 m2,_,Nhà mặt tiền,---,4m,14m,2
" Đường Cô Giang, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 23,5 tỷ ", 155 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,24m,1
" Đường An Thượng 1, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 15,7 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3
" Đường Đặng Tử Kính, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 14,7 tỷ ", 95 m2,_,Nhà mặt tiền,---,"7,5m","12,7m",4
" Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng", 17 tỷ , 121 m2,_,Nhà mặt tiền,---,5m,"24,2m",3
" Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 6,1 tỷ ", 234 m2,_,Nhà mặt tiền,---,9m,286m,2
" Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 7,65 tỷ ", 90 m2,_,Nhà mặt tiền,---,"4,5m",20m,1
" Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng", 31 tỷ , 278 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,29m,3
" Đường Hải Hồ, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng", 11 tỷ , 76 m2,_,Nhà mặt tiền,---,7m,11m,3
" Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng", 31 tỷ , 278 m2,_,Nhà mặt tiền,---,"9,6m",29m,3
" Đường Xô Viết Nghệ Tĩnh, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 24 tỷ , 190 m2,_,Nhà mặt tiền,---,10m,19m,2
" Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 8 tỷ , 100 m2,_,Nhà mặt tiền,---,5m,20m,4
" Đường Nguyễn Phẩm, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,8 tỷ ", 81 m2,_,Nhà mặt tiền,---,"4,5m",18m,3
" Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 14,5 tỷ ", 106 m2,_,Nhà mặt tiền,---,"6,2m",17m,3
" Đường Lê Đình Thám, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng", 13 tỷ , 90 m2,_,Nhà mặt tiền,---,5m,18m,3
" Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 13 tỷ , 99 m2,_,Nhà mặt tiền,---,5m,19m,1
" Đường Phạm Văn Tráng, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 10,5 tỷ ", 174 m2,_,Nhà mặt tiền,---,"9,5m",20m,3
" Đường Hải Hồ, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng", 11 tỷ , 76 m2,_,Nhà mặt tiền,---,"7,1m",11m,3
" Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 9,5 tỷ ", 209 m2,_,Nhà mặt tiền,---,11m,19m,1
" Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 22,3 tỷ ", 255 m2,_,Nhà mặt tiền,---,"12,75m",20m,4
