Address,Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 5,95 tỷ ", 132 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,8m",23m,3,16.044107,108.2060114
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 6 tỷ , 150 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,25m,3,16.044107,108.2060114
" Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,8 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,12m,1,16.0929062,108.2484832
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 2,55 tỷ ", 65 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,2,16.0674661,108.1932536
" Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,13m,2,16.0718385,108.1883741
" Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 2,15 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,2,16.0415679,108.1813377
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 3,65 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",18m,1,16.044107,108.2060114
" Đường Trường Chinh, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 1,65 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",14m,1,16.0595231,108.179155
" Đường Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,7 tỷ ", 120 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,24m,2,16.0912421,108.2445524
" Đường Đồng Kè, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 3,15 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",22m,2,16.0723048,108.1472133
" Đường Nguyễn Như Đỗ, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng"," 1,85 tỷ ", 120 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,24m,1,16.0031472,108.1876854
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,69 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",16m,2,16.0583615,108.1683251
" Đường Tôn Đản, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"," 3,65 tỷ ", 90 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,18m,3,16.0392505,108.1852671
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 2,83 tỷ ", 110 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,22m,2,16.0756243,108.2319079
" Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 1,49 tỷ ", 36 m2,Tây,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,1m",---,---,16.0751042,108.2073603
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 5,35 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2,16.0138538,108.1958513
" Đường Lỗ Giáng 6, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,16.0003372,108.2132929
" Đường Phan Văn Trị, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 6,35 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,5m",20m,3,16.0172054,108.2084021
" Đường Trần Văn Cẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,96 tỷ ", 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,30m,3,,
" Đường Đặng Văn Ngữ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,8 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,16.0140539,108.2065002
" Đường Bình Hòa 4, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 8,5 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,4,16.025345,108.2121536
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 6 tỷ , 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,1,16.0063777,108.2078822
" Đường Bình Hòa 14, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,15 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3,16.0221996,108.2129834
" Đường Nguyễn Khoa Chiêm, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,16.0214579,108.1974153
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 7,5 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,7m",13m,2,16.0241244,108.2171347
" Đường Hoàng Đạo Thúy, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng", 5 tỷ , 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,3,16.0198819,108.1968795
" Đường Trường Chinh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 67 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"11,07m","6,91m",4,16.0227751,108.200433
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 18,8 tỷ ", 170 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,34m,4,16.0524115,108.2090289
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,4 tỷ ", 95 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,19m,3,16.0212756,108.2004817
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,16.0212756,108.2004817
" Đường Nguyễn Nho Túy, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,55 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,16.0209382,108.2085527
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng", 14 tỷ , 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,15m,2,16.0138538,108.1958513
" Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 24 tỷ , 250 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,17m,2,16.0086953,108.2188325
" Đường Bình Thái 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,85 tỷ ", 126 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,21m,2,16.0112356,108.2002191
" Đường Liêm Lạc 15, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,15.9794185,108.2192149
" đường Quách Thị Trang Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,2,,
" Đường Trần Kim Xuyến, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 5,6 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,,
" Đường Trần Văn Cẩn, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,8 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,,
" Đường Trương Quang Giao, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,3 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,16.0190372,108.2057322
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,15.9992464,108.2116823
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 11 tỷ , 140 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,9m",25m,1,16.0241244,108.2171347
" Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,2 tỷ ", 145 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,24m,3,16.0117393,108.1982179
" Đường Bình Thái 3, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,3 tỷ ", 135 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,4m",25m,2,16.0154633,108.2036738
" Đường Nguyễn Trung Ngạn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2,16.0240456,108.2103341
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 20 tỷ , 310 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"11,2m",26m,3,16.0241244,108.2171347
" Đường Trần Kim Bảng, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,4 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,16.0277607,108.2121296
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,2,16.0212756,108.2004817
" Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,1 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,16.0203761,108.204959
" Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,,
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,75 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,15.9992464,108.2116823
" Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 17,9 tỷ ", 160 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,7m",21m,3,,
" Đường Cẩm Bắc 9, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2,,
" Đường Liêm Lạc 21, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,15.9826151,108.2196458
" Đường Bình Hòa 2, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,15m,1,16.0249026,108.2137169
" Đường Trường Chinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,5 tỷ ", 85 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,21m,1,,
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,8 tỷ ", 90 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,18m,2,16.0151267,108.2044735
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,15 tỷ ", 110 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,9m,12m,1,16.0138538,108.1958513
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,7 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3,16.0063777,108.2078822
" Đường Phạm Viết Chánh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 78 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,13m,2,16.0154645,108.1976131
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,2 tỷ ", 76 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,6m",16m,2,16.0151267,108.2044735
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,1 tỷ ", 84 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,21m,2,16.0241244,108.2171347
" Đường Bùi Xương Trạch, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,1,16.0205599,108.2060848
" Đường Bình Thái 1, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 1,5 tỷ ", 66 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"16,5m",1,16.0137464,108.2044932
" Đường Triệu Quốc Đạt, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,"13,5m",2,16.0172805,108.201628
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,05 tỷ ", 56 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,8m,2,16.0241244,108.2171347
" Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng", 15 tỷ , 62 m2,_,Nhà mặt tiền,---,"5,5m",12m,5,16.0604012,108.2170183
" Đường Lê Thị Hồng Gấm, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 78 m2,_,Nhà mặt tiền,---,"5,5m","14,5m",3,16.0347762,108.217907
" Đường Phước Mỹ 3, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 7,3 tỷ ", 66 m2,_,Nhà mặt tiền,---,"4,1m",16m,3,16.066751,108.2418371
" Đường Tống Phước Phổ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 68 m2,_,Nhà mặt tiền,---,5m,"13,5m",3,16.0482538,108.2223433
" Đường Nguyễn Hữu Thọ, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 16,5 tỷ ", 125 m2,_,Nhà mặt tiền,---,5m,25m,4,16.0407896,108.2111494
" Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 14,2 tỷ ", 125 m2,_,Nhà mặt tiền,---,5m,24m,4,16.0577109,108.2071212
" Đường Dương Bích Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,995 tỷ ", 70 m2,_,Nhà mặt tiền,---,5m,14m,2,16.0732069,108.1728305
" Đường Phan Đăng Lưu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 16 tỷ , 100 m2,_,Nhà mặt tiền,---,5m,20m,5,16.0376383,108.2228608
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 100 tỷ , 450 m2,_,Nhà mặt tiền,---,15m,30m,14,16.0524115,108.2090289
" Đường Nguyễn Lộ Trạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 9 tỷ , 112 m2,_,Nhà mặt tiền,---,5m,22m,3,16.0327176,108.2293459
" Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng", 13 tỷ , 90 m2,_,Nhà mặt tiền,---,"4,5m",20m,6,16.072439,108.1962625
" Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 12 tỷ , 135 m2,_,Nhà mặt tiền,---,"5,37m",25m,2,16.0382864,108.2213353
" Đường Nguyễn Văn Linh, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 5,8 tỷ ", 63 m2,_,Nhà trong hẻm,---,"4,2m",15m,4,16.0602491,108.2136695
" Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 9,8 tỷ ", 105 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,5,16.078156,108.2150772
" Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 4,09 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,11m,1,16.0596195,108.2093288
" Đường Trần Xuân Lê, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 4,5 tỷ ", 55 m2,_,Nhà trong hẻm,---,5m,11m,2,16.0554131,108.1876616
" Đường Ông Ích Đường, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,3 tỷ ", 125 m2,_,Nhà trong hẻm,---,"7,8m",16m,1,16.0196547,108.2034422
" Đường Thái Phiên, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 8,3 tỷ ", 82 m2,_,Nhà trong hẻm,---,"4,5m","18,4m",3,16.0648993,108.2240258
" Đường An Thượng 24, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,5 tỷ ", 106 m2,_,Nhà trong hẻm,---,7m,15m,1,16.0522316,108.2404204
" Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 7,1 tỷ ", 143 m2,_,Nhà trong hẻm,---,8m,18m,2,16.0757672,108.2135372
" Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 7,2 tỷ ", 68 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","15,3m",4,16.078156,108.2150772
" Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 16 tỷ , 170 m2,_,Nhà mặt tiền,---,6m,20m,2,16.0409045,108.216236
" Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 24,45 tỷ ", 123 m2,_,Nhà mặt tiền,---,"7,1m",18m,2,16.0493796,108.2207225
" Đường Hóa Sơn 2, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 3,45 tỷ ", 56 m2,_,Nhà mặt tiền,---,4m,14m,2,16.0311397,108.2273853
" Đường Cô Giang, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 23,5 tỷ ", 155 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,24m,1,16.062005,108.2217525
" Đường An Thượng 1, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 15,7 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3,16.0486433,108.2485294
" Đường Đặng Tử Kính, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 14,7 tỷ ", 95 m2,_,Nhà mặt tiền,---,"7,5m","12,7m",4,16.0792623,108.2219154
