price,Diện tích,Phòng ngủ,Phòng tắm,Giấy tờ pháp lý,Số tầng,Chiều rộng,Chiều dài,Hiện trạng nhà,Năm xây dựng,Vị trí,Trạng thái sử dụng,Đường rộng,Hướng,Kết cấu
2.2 tỷ,38 m²,,,Sổ đỏ,,6 m,6.4 m,Đang ở,,,,,,
11 tỷ,107 m²,5,5,Sổ đỏ,5+,5 m,21.5 m,Đang ở,,,,,,
11 tỷ,108 m²,5,5,Sổ hồng,5+,5 m,21.5 m,Đang ở,,,,,,
4.75 tỷ,63 m²,2,1,Sổ hồng,1,4.8 m,13.5 m,Nhà trống,,,,,,
4.1 tỷ,119 m²,5,3,Sổ đỏ,2,10.5 m,,Đang ở,,,,,,
4.1 tỷ,119 m²,5,3,Sổ đỏ,2,10.5 m,,Nhà trống,,,,,,
6.8 tỷ,112 m²,3,3,Sổ đỏ,3,5 m,22 m,Nhà trống,,,,,,
7.45 tỷ,92 m²,3,3,Sổ hồng,3,5 m,19 m,Nhà trống,,,,,,
5.85 tỷ,87 m²,4,4,Sổ đỏ,3,5 m,17.3 m,Nhà trống,,,,,,
6.4 tỷ,70 m²,3,2,Sổ hồng,2,5 m,14 m,Nhà trống,,,,,,
2.8 tỷ,90 m²,3,2,Sổ hồng,2,5.5 m,17 m,Nhà trống,,,,,,
2.8 tỷ,90 m²,,,Sổ đỏ,,5.5 m,16 m,Nhà trống,,,,,,
3.3 tỷ,45 m²,,,Sổ đỏ,,1 m,1 m,Đang ở,,,,,,
3.4 tỷ,90 m²,3,3,Sổ đỏ,2,5 m,18 m,Đang ở,,,,,,
6.2 tỷ,925 m²,3,2,Sổ hồng,2,5 m,18.5 m,Nhà trống,,,,,,
4.4 tỷ,90 m²,5,5,,,4.51 m,20 m,,2017,,,5.5 m,,
6.4 tỷ,70 m²,3,2,Sổ hồng,2,5 m,14 m,Nhà trống,,,,,,
7.45 tỷ,92 m²,3,3,Sổ hồng,3,5 m,19 m,Đang ở,,,,,,
7.5 tỷ,54 m²,3,3,Sổ đỏ,3,5.8 m,9 m,Đang ở,,,,,,
11.5 tỷ,100 m²,5,5,Sổ đỏ,5+,6 m,19 m,Đang ở,,,,,,
11.5 tỷ,100 m²,5,5,Sổ đỏ,5+,6 m,19 m,Nhà trống,,,,,,
2.42 tỷ,69 m²,2,2,Sổ hồng,2,4.4 m,14.7 m,Nhà trống,,,,,,
4.45 tỷ,65 m²,3,,Sổ đỏ,3,5 m,14 m,Nhà trống,,,,,,
4.45 tỷ,65 m²,3,,Sổ đỏ,3,5 m,14 m,Nhà trống,,,,,,
7.4 tỷ,127 m²,,,Sổ đỏ,3,1 m,1 m,Đang ở,,,,,,
10.1 tỷ,98 m²,5,5,Sổ hồng,5+,4.5 m,21.5 m,Nhà trống,,,,,,
5.6 tỷ,190 m²,3,2,Sổ hồng,1,10 m,19 m,Đang ở,,,,,,
1.82 tỷ,33 m²,2,2,Sổ hồng,2,3.6 m,8.3 m,Nhà trống,,,,,,
3.75 tỷ,75 m²,3,2,Sổ đỏ,2,5 m,17 m,Nhà trống,,,,,,
4.1 tỷ,81 m²,3,3,Sổ đỏ,2,4.5 m,18 m,Nhà trống,,,,,,
5.55 tỷ,130 m²,3,2,Sổ hồng,2,6 m,21.5 m,Đang ở,,,,,,
5.55 tỷ,130 m²,3,2,Sổ hồng,2,6 m,21.5 m,Đang ở,,,,,,
6.4 tỷ,70 m²,3,2,Sổ hồng,2,5 m,14 m,Đang ở,,,,,,
5.5 tỷ,80 m²,3,3,Sổ đỏ,2,4.5 m,17.5 m,Nhà trống,,,,,,
5.5 tỷ,70 m²,4,3,Sổ đỏ,3,7 m,10 m,Nhà trống,,,,,,
5.5 tỷ,100 m²,1,1,Sổ hồng,1,5 m,20 m,Nhà trống,,,,,,
5.5 tỷ,70 m²,3,2,Sổ hồng,2,5 m,14 m,Đang ở,,Mặt tiền,Đã qua sử dụng,,Đông,Nhà cấp 3
15 tỷ,80 m²,9,10,Sổ hồng,5+,5 m,16 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,11.5 m,Đông,Biệt thự
2.1 tỷ,35 m²,2,2,Sổ hồng,2,3.6 m,9.2 m,Nhà trống,,,,,,
2.3 tỷ,45 m²,3,2,Sổ hồng,2,3.5 m,13.5 m,Đang ở,,,,,,
2.95 tỷ,55 m²,4,2,Sổ hồng,2,3.6 m,9.2 m,Đang ở,,,,,,
25.5 tỷ,90 m²,5,5,Sổ hồng,5+,5 m,18 m,Nhà trống,,,,,,
4.87 tỷ,100 m²,4,4,Sổ đỏ,3,5 m,20 m,Đang ở,,,,,,
6.5 tỷ,94 m²,4,5,Sổ hồng,4,6 m,15.6 m,Đang ở,,Hẻm,,3.5 m,Đông,Nhà cấp 3
5.65 tỷ,81 m²,4,4,Sổ đỏ,3,4.5 m,18 m,Nhà trống,,,,,,
2.35 tỷ,60 m²,3,2,Sổ đỏ,2,4.6 m,13 m,Nhà trống,,,,,,
4.5 tỷ,80 m²,2,2,Sổ hồng,2,5 m,16 m,Nhà trống,,,,,,
6.5 tỷ,81 m²,3,3,Sổ hồng,3,4.5 m,13 m,Đang ở,,,,,,
2.66 tỷ,40 m²,2,2,Sổ hồng,3,6.8 m,6 m,Nhà trống,,,,,,
7.5 tỷ,100 m²,,,Sổ đỏ,,5 m,20 m,Nhà trống,,,,,,
2.66 tỷ,40 m²,2,2,Sổ đỏ,3,7.5 m,5.5 m,Đang ở,,,,,,
4 tỷ,78 m²,,,Sổ đỏ,,6 m,13 m,Nhà trống,,,,,,
2.6 tỷ,1 m²,,,Sổ đỏ,,1 m,1 m,Nhà trống,,,,,,
9.7 tỷ,150 m²,1,1,Sổ đỏ,,,,Đang ở,,,,,,
3.45 tỷ,74 m²,3,3,Sổ đỏ,3,4.3 m,17.2 m,Đang ở,,,,,,
4.15 tỷ,71 m²,4,3,Sổ hồng,2,5.7 m,12 m,Đang ở,,,,,,
20.5 tỷ,131 m²,5,5,Sổ hồng,5+,5 m,26 m,Nhà trống,,,,,,
7.9 tỷ,112 m²,4,5,Sổ hồng,3,5 m,22.5 m,Nhà trống,,,,,,
1.85 tỷ,90 m²,2,1,Sổ đỏ,1,5.2 m,17.4 m,Nhà trống,,,,,,
2.7 tỷ,90 m²,3,2,Sổ hồng,2,5.5 m,17 m,Nhà trống,,,,,,
2.66 tỷ,40 m²,2,2,Sổ đỏ,3,7.7 m,5.1 m,Đang ở,,,,,,
45 tỷ,140 m²,19,20,Sổ hồng,3,20 m,26 m,Đang ở,,,Đã qua sử dụng,11.5 m,Đông,
35 tỷ,140 m²,2,3,Sổ hồng,3,7 m,20 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,15 m,Đông,Biệt thự
2.23 tỷ,50 m²,2,2,Sổ hồng,2,5 m,10 m,Đang ở,,,,,,
2.3 tỷ,46 m²,3,2,Sổ hồng,2,3.5 m,13.5 m,Đang ở,,,,,,
3.39 tỷ,68 m²,3,2,Sổ hồng,3,4.5 m,15 m,Đang ở,,,,,,
7.4 tỷ,127 m²,,,Sổ đỏ,,1 m,1 m,Đang ở,,,,,,
52 tỷ,235 m²,5,5,Sổ hồng,5+,11.7 m,20 m,Đang ở,,,,,,
2.35 tỷ,67 m²,1,1,Sổ hồng,1,4.5 m,14.85 m,Đang ở,,,,,,
2.23 tỷ,50 m²,2,2,Sổ hồng,2,5 m,10 m,Nhà trống,,,,,,
2.3 tỷ,46 m²,3,2,Sổ hồng,2,3.5 m,13.5 m,Nhà trống,,,,,,
2.59 tỷ,62 m²,2,2,Sổ hồng,1,4.5 m,14 m,Đang ở,,,,,,
6.8 tỷ,90 m²,5,5,Sổ đỏ,3,5 m,18 m,Đang ở,,,,,,
22.5 tỷ,125 m²,5,5,Sổ đỏ,5+,5 m,25 m,Đang ở,,,,,,
2.35 tỷ,60 m²,3,2,Sổ đỏ,2,4.6 m,13 m,Nhà trống,,,,,,
2.3 tỷ,46 m²,3,2,Sổ hồng,2,3.5 m,13.5 m,Nhà trống,,,,,,
2.3 tỷ,46 m²,3,2,Sổ hồng,2,3.5 m,13.5 m,Đang ở,,,,,,
3.55 tỷ,90 m²,3,2,Sổ hồng,2,4.2 m,22 m,Nhà trống,,,,,,
1.88 tỷ,37 m²,2,2,Sổ hồng,2,5.2 m,7 m,Nhà trống,,,,,,
5.7 tỷ,100 m²,4,4,Sổ hồng,3,5.5 m,18 m,Nhà trống,,,,,,
2.23 tỷ,50 m²,2,2,Sổ hồng,2,5 m,10 m,Nhà trống,,,,,,
3.15 tỷ,62 m²,3,2,Sổ hồng,2,5.8 m,11 m,Đang ở,,,,,,
3.65 tỷ,60 m²,4,4,Sổ đỏ,3,4.5 m,13.5 m,Đang ở,,,,,,
9.5 tỷ,96 m²,4,3,Sổ hồng,2,5 m,19 m,Đang ở,,,,,,
14.5 tỷ,100 m²,8,9,,4,5 m,20 m,,2018,Mặt tiền,Đã qua sử dụng,33 m,Nam,Biệt thự
12.5 tỷ,99 m²,4,4,Sổ hồng,4,4.5 m,22 m,Đang ở,2021,Mặt tiền,,7.5 m,Đông,Biệt thự
8.5 tỷ,73 m²,3,2,,3,4.5 m,16.5 m,Đang ở,2018,Mặt tiền,Chưa sử dụng,7.5 m,Đông,Biệt thự
10.3 tỷ,188 m²,6,6,Sổ đỏ,4,7 m,27 m,Có nội thất,2021,Mặt tiền,Đã qua sử dụng,5 m,Đông,Biệt thự
10.5 tỷ,750 m²,30,30,Sổ hồng,4,10 m,75 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,5.5 m,Đông Nam,Biệt thự
6.55 tỷ,93 m²,3,4,Sổ hồng,3,4.5 m,20.5 m,Đang ở,2021,Mặt tiền,Chưa sử dụng,7.5 m,Nam,Biệt thự
16.9 tỷ,130 m²,4,4,Sổ đỏ,3,8 m,16.5 m,Đang ở,2021,Mặt tiền,,7.5 m,Đông,Biệt thự
5.1 tỷ,90 m²,4,4,Sổ hồng,4,5 m,18 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,7.5 m,Đông,Biệt thự
4.9 tỷ,90 m²,3,3,Sổ đỏ,3,5 m,18 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,5.5 m,Nam,Biệt thự
3.75 tỷ,90 m²,3,3,Sổ hồng,2,4.5 m,20 m,Đang ở,2021,Mặt tiền,,5.5 m,Đông Nam,Biệt thự
2.85 tỷ,100 m²,4,4,Sổ hồng,2,5 m,19.98 m,Đang ở,2018,Mặt tiền,Đã qua sử dụng,7.49 m,Đông Nam,
13.9 tỷ,98 m²,9,10,,5+,5.5 m,17 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,7.5 m,Đông,Biệt thự
3.9 tỷ,75 m²,4,4,Sổ hồng,3,4.2 m,18 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,3.98 m,Đông Nam,Biệt thự
16 tỷ,70 m²,3,3,,3,6.3 m,11.5 m,,2021,,Đã qua sử dụng,10.5 m,Đông,Biệt thự
28 tỷ,252 m²,5,5,Sổ hồng,3,11 m,24 m,Đang ở,,Mặt tiền,Đã qua sử dụng,5.48 m,Tây Bắc,
4.19 tỷ,80 m²,2,2,Sổ hồng,1,6 m,13 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,3.75 m,Đông,Nhà cấp 4
2.75 tỷ,61 m²,3,3,Sổ đỏ,2,5.2 m,11.7 m,Nhà trống,,,,,,
5.2 tỷ,85 m²,2,1,Sổ hồng,1,5 m,17 m,Đang ở,,,,,,
5.2 tỷ,58 m²,2,2,Sổ hồng,2,4.2 m,13.9 m,Đang ở,,,,,,
6.5 tỷ,61 m²,3,3,Sổ hồng,4,4.3 m,14 m,Đang ở,,,,,,
3.55 tỷ,90 m²,3,2,Sổ hồng,2,4.2 m,22 m,Đang ở,,,,,,
52 tỷ,234 m²,5,5,Sổ đỏ,5+,11.7 m,20 m,Nhà trống,,,,,,
16.8 tỷ,108 m²,,,,,,,,,,,,,
3.55 tỷ,90 m²,3,2,Sổ hồng,2,4.2 m,22 m,Nhà trống,,,,,,
3.1 tỷ,171 m²,2,1,Sổ hồng,1,4.5 m,39 m,Nhà trống,,,,,,
52 tỷ,234 m²,5,5,Sổ đỏ,5+,11.7 m,20 m,Nhà trống,,,,,,
8.4 tỷ,100 m²,3,3,Sổ hồng,2,5 m,20 m,Đang ở,,,,,,
2.1 tỷ,72 m²,,,Sổ đỏ,1,5 m,15 m,Đang ở,,,,,,
1.95 tỷ,68 m²,3,1,Sổ đỏ,2,6.5 m,11 m,Nhà trống,,,,,,
4.7 tỷ,106 m²,5,5,Sổ hồng,1,5.3 m,20 m,Đang ở,,,,,,
2.25 tỷ,50 m²,2,2,Sổ hồng,2,5 m,10 m,Nhà trống,,,,,,
5.5 tỷ,90 m²,5,4,Sổ đỏ,4,5 m,18 m,Nhà trống,,,,,,
1.58 tỷ,28 m²,2,2,Sổ hồng,2,3.1 m,9 m,Nhà trống,,,,,,
3.6 tỷ,5 m²,2,2,Sổ hồng,3,4 m,12.5 m,Nhà trống,,,,,,
2.7 tỷ,90 m²,2,2,Sổ hồng,1,4 m,22 m,Đang ở,,,,,,
4.45 tỷ,65 m²,3,3,Sổ hồng,3,5 m,14 m,Đang ở,,,,,,
3.65 tỷ,80 m²,3,3,Sổ hồng,2,4.5 m,18 m,Đang ở,,,,,,
5.3 tỷ,85 m²,5,5,Sổ hồng,4,4.6 m,17 m,Đang ở,,,,,,
5.99 tỷ,105 m²,3,3,Sổ hồng,3,5 m,21 m,Nhà trống,,,,,,
2.99 tỷ,60 m²,4,3,Sổ hồng,3,7 m,8.2 m,Nhà trống,,,,,,
3.7 tỷ,67 m²,4,4,Sổ hồng,4,6.2 m,11.8 m,Đang ở,,,,,,
3.15 tỷ,51 m²,2,2,Sổ hồng,1,4.5 m,11.5 m,Nhà trống,,,,,,
3.4 tỷ,61 m²,4,4,Sổ đỏ,3,5.7 m,10.4 m,Đang ở,,,,,,
3.15 tỷ,51 m²,2,2,Sổ hồng,1,4.5 m,11.5 m,Đang ở,,,,,,
2.98 tỷ,53 m²,1,1,Sổ hồng,1,4 m,14 m,Nhà trống,,,,,,
3.28 tỷ,72 m²,3,4,Sổ đỏ,2,4 m,16 m,Đang ở,,,,,,
1.58 tỷ,34 m²,1,1,Sổ hồng,1,5.55 m,6 m,Nhà trống,,,,,,
8.5 tỷ,90 m²,5,5,Sổ đỏ,5+,5 m,18 m,Nhà trống,,,,,,
3.75 tỷ,70 m²,3,3,Sổ đỏ,2,5 m,14 m,Nhà trống,,,,,,
3.45 tỷ,74 m²,3,3,Sổ đỏ,3,4.3 m,17.2 m,Nhà trống,,,,,,
2.69 tỷ,61 m²,3,3,Sổ đỏ,2,5.6 m,11 m,Đang ở,,,,,,
2.75 tỷ,62 m²,2,2,Sổ hồng,1,4.5 m,14 m,Đang ở,,,,,,
3.25 tỷ,60 m²,3,4,Sổ đỏ,3,4 m,13 m,Nhà trống,,,,,,
3.9 tỷ,55 m²,2,2,Sổ đỏ,2,4.4 m,12.5 m,Đang ở,,,,,,
16.95 tỷ,125 m²,5,5,Sổ đỏ,4,5 m,25 m,Nhà trống,,,,,,
4.7 tỷ,106 m²,5,5,Sổ hồng,1,5.3 m,20 m,Đang ở,,,,,,
4.9 tỷ,77 m²,3,3,Sổ hồng,3,5.3 m,15 m,Nhà trống,,,,,,
3.7 tỷ,67 m²,4,4,Sổ hồng,4,6.2 m,11.8 m,Nhà trống,,,,,,
1.75 tỷ,40 m²,3,2,Sổ hồng,2,3.4 m,12 m,Đang ở,,,,,,
2.75 tỷ,55 m²,2,2,Sổ hồng,2,3.5 m,13 m,Đang ở,,,,,,
2.99 tỷ,60 m²,4,3,Sổ hồng,3,7 m,8.2 m,Nhà trống,,,,,,
10.4 tỷ,134 m²,,,Sổ đỏ,2,,,Nhà trống,,,,,,
3.3 tỷ,98 m²,,,Sổ đỏ,2,5 m,20 m,Đang ở,,,,,,
3.65 tỷ,150 m²,3,2,Sổ hồng,2,6.3 m,21 m,Có nội thất,,Hẻm,Đã qua sử dụng,,,
2.2 tỷ,100 m²,3,1,Sổ đỏ,,,,Đang ở,,,,,,
3.75 tỷ,72 m²,4,4,Sổ đỏ,3,4.5 m,16 m,Nhà trống,,,,,,
3.09 tỷ,84 m²,2,3,Sổ hồng,2,4.6 m,18.3 m,Nhà trống,,,,,,
3.7 tỷ,67 m²,4,4,Sổ hồng,4,6.2 m,11.8 m,Nhà trống,,,,,,
2.95 tỷ,70 m²,4,3,Sổ hồng,3,4 m,17.8 m,Nhà trống,,,,,,
18 tỷ,108 m²,,,,,,,,,,,,,
2.05 tỷ,37 m²,3,3,Sổ hồng,3,5 m,7.5 m,Nhà trống,,,,,,
8.3 tỷ,92 m²,5,5,Sổ hồng,5+,5 m,19 m,Nhà trống,,,,,,
1.75 tỷ,40 m²,3,2,Sổ hồng,2,3.4 m,12 m,Nhà trống,,,,,,
3.7 tỷ,67 m²,4,4,Sổ hồng,4,6.2 m,11.8 m,Nhà trống,,,,,,
11.8 tỷ,102 m²,5,5,Sổ đỏ,5+,6 m,17 m,Đang ở,,,,,,
2.05 tỷ,37 m²,3,3,Sổ hồng,3,5 m,7.5 m,Nhà trống,,,,,,
13.5 tỷ,87 m²,,,,,,,,,,,,,
18 tỷ,100 m²,,,,,,,,,,,,,
15.5 tỷ,115 m²,,,,,,,,,,,,,
13.5 tỷ,90 m²,,,,,,,,,,,,,
11.5 tỷ,85 m²,,,,,,,,,,,,,
3.39 tỷ,50 m²,3,2,Sổ đỏ,2,4.6 m,11 m,Nhà trống,,,,,,
41.9 tỷ,"3,740 m²",3,3,Sổ hồng,1,46 m,82 m,Nhà trống,,,,,,
2.98 tỷ,35 m²,2,2,Sổ hồng,2,5 m,7 m,Đang ở,,,,,,
11 tỷ,103 m²,3,2,Sổ hồng,2,5 m,20.5 m,Đang ở,,,,,,
2.19 tỷ,58 m²,2,2,Sổ hồng,1,4.5 m,13.2 m,Nhà trống,,,,,,
3.65 tỷ,150 m²,3,2,Sổ hồng,2,8.3 m,21 m,Có nội thất,,,Đã qua sử dụng,4 m,,
17.3 tỷ,110 m²,5,5,Sổ hồng,5+,6.5 m,17 m,Đang ở,,,,,,
2.99 tỷ,53 m²,4,2,Sổ hồng,2,3.5 m,9.2 m,Nhà trống,,,,,,
1.75 tỷ,40 m²,3,2,Sổ hồng,2,3.4 m,12 m,Đang ở,,,,,,
3.9 tỷ,78 m²,3,3,Sổ đỏ,2,5 m,15.5 m,Đang ở,,,,,,
2.35 tỷ,47 m²,2,1,Sổ đỏ,1,4 m,11.6 m,Đang ở,,,,,,
3.09 tỷ,85 m²,2,2,Sổ đỏ,2,4.5 m,19 m,Đang ở,,,,,,
2.05 tỷ,54 m²,2,2,Sổ đỏ,1,3.2 m,17 m,Nhà trống,,,,,,
3.09 tỷ,85 m²,2,2,Sổ đỏ,2,4.5 m,19 m,Nhà trống,,,,,,
2.05 tỷ,54 m²,2,2,Sổ đỏ,1,3.2 m,17 m,Đang ở,,,,,,
5.2 tỷ,60 m²,,,Sổ đỏ,5+,8.3 m,,Đang ở,,,,,,
5.7 tỷ,80 m²,2,2,Sổ hồng,2,5 m,16 m,Đang ở,2020,Mặt tiền,Đã qua sử dụng,5.5 m,Bắc,Nhà cấp 3
7.5 tỷ,80 m²,3,3,Sổ đỏ,3,,,Đang ở,,,,,,
6.7 tỷ,105 m²,4,4,Sổ hồng,4,5 m,21 m,Đang ở,2021,Mặt tiền,Đã qua sử dụng,7.5 m,,Nhà cấp 3
3.7 tỷ,83 m²,4,2,Sổ đỏ,2,4 m,20 m,Đang ở,,,,,,
5.99 tỷ,105 m²,3,3,Sổ hồng,3,5 m,21 m,Nhà trống,,,,,,
2.99 tỷ,53 m²,4,2,Sổ hồng,2,3.5 m,9.2 m,Đang ở,,,,,,
3.55 tỷ,51 m²,,,Sổ đỏ,,3.7 m,14 m,Đang ở,,,,,,
4.35 tỷ,63 m²,3,3,Sổ đỏ,3,4 m,18 m,Nhà trống,,,,,,
11 tỷ,103 m²,3,2,Sổ hồng,2,5 m,20.5 m,Đang ở,,,,,,
5.3 tỷ,95 m²,2,2,Sổ hồng,1,4.5 m,20.99 m,Đang ở,2018,Mặt tiền,Đã qua sử dụng,7.5 m,Tây,Nhà cấp 4
26 tỷ,225 m²,5,5,Sổ hồng,4,10 m,25 m,Nhà trống,,,,,,
5.2 tỷ,60 m²,5,5,Sổ hồng,5+,8 m,7.5 m,Đang ở,,,,,,
5.85 tỷ,65 m²,3,3,Sổ hồng,3,4.5 m,14.5 m,Đang ở,,,,,,
7.2 tỷ,114 m²,4,4,Sổ hồng,3,5 m,22.8 m,Đang ở,2020,Mặt tiền,Đã qua sử dụng,7.5 m,Đông Bắc,Nhà cấp 3
2.99 tỷ,53 m²,4,2,Sổ hồng,2,3.5 m,9.2 m,Nhà trống,,,,,,
5.99 tỷ,105 m²,3,3,Sổ hồng,3,5 m,21 m,Đang ở,,,,,,
42 tỷ,"3,740 m²",3,3,Sổ hồng,1,46 m,82 m,Nhà trống,,,,,,
1.79 tỷ,39 m²,2,1,Sổ hồng,1,4 m,10 m,Đang ở,,,,,,
5.2 tỷ,60 m²,5,5,Sổ hồng,5+,8 m,7.5 m,Đang ở,,,,,,
19.5 tỷ,120 m²,2,2,Sổ hồng,2,5.5 m,22 m,Đang ở,,,,,,
5.99 tỷ,105 m²,3,3,Sổ hồng,3,5 m,21 m,Nhà trống,,,,,,
8.39 tỷ,96 m²,3,2,Sổ hồng,2,5 m,19.5 m,Nhà trống,,,,,,
2.05 tỷ,51 m²,2,2,Sổ hồng,1,4.5 m,11.5 m,Đang ở,,,,,,
3.5 tỷ,50 m²,4,4,Sổ hồng,3,4.1 m,12.8 m,Đang ở,,,,,,
5.15 tỷ,53 m²,2,2,Sổ hồng,2,4.5 m,12 m,Nhà trống,,,,,,
3.29 tỷ,98 m²,3,2,Sổ hồng,2,5 m,19.8 m,Nhà trống,,,,,,
5.3 tỷ,60 m²,5,5,Sổ hồng,5+,8 m,7.5 m,Đang ở,,,,,,
4.2 tỷ,65 m²,2,2,Sổ hồng,1,3.8 m,17.6 m,Đang ở,,,,,,
3.9 tỷ,100 m²,2,1,Sổ đỏ,1,5 m,20 m,Nhà trống,,,,,,
5.3 tỷ,86 m²,3,2,Sổ hồng,2,5 m,17 m,Nhà trống,,,,,,
5.39 tỷ,100 m²,3,2,Sổ hồng,2,5 m,20 m,Nhà trống,,,,,,
11.8 tỷ,102 m²,5,5,Sổ đỏ,5+,6 m,17 m,Nhà trống,,,,,,
3.5 tỷ,75 m²,5,3,Sổ hồng,2,7.5 m,10 m,Nhà trống,,,,,,
42 tỷ,640 m²,5,5,Sổ hồng,2,16 m,45 m,Đang ở,,,,,,
10.7 tỷ,92 m²,5,5,Sổ hồng,5+,4.5 m,21 m,Đang ở,,,,,,
7.5 tỷ,55 m²,3,3,Sổ hồng,3,5.5 m,10 m,Đang ở,,,,,,
13.5 tỷ,150 m²,5,5,Sổ hồng,5+,5 m,30 m,Đang ở,,,,,,
5.3 tỷ,76 m²,5,5,Sổ hồng,4,5 m,15 m,Nhà trống,,,,,,
10.7 tỷ,92 m²,5,5,Sổ hồng,5+,4.5 m,21 m,Nhà trống,,,,,,
5.5 tỷ,56 m²,4,3,Sổ hồng,3,4.5 m,12.49 m,Đang ở,,Mặt tiền,Đã qua sử dụng,5.49 m,Đông Bắc,Nhà cấp 3
5.3 tỷ,60 m²,8,8,Sổ hồng,4,7.5 m,8 m,Đang ở,,,Đã qua sử dụng,4.5 m,Đông,Nhà cấp 3
4.5 tỷ,85 m²,3,4,Sổ hồng,3,3.7 m,25 m,Đang ở,,,,,,
4.2 tỷ,60 m²,3,3,Sổ hồng,3,4 m,15 m,Nhà trống,,,,,,
3.3 tỷ,98 m²,3,4,Sổ hồng,2,5 m,20 m,Đang ở,,,,,,
6.9 tỷ,90 m²,5,5,Sổ hồng,3,5 m,18 m,Đang ở,,,,,,
41.9 tỷ,560 m²,5,5,Sổ hồng,2,18 m,32 m,Nhà trống,,,,,,
3.25 tỷ,125 m²,,,Sổ hồng,2,5 m,25 m,Nhà trống,,,,,,
2.85 tỷ,76 m²,3,3,Sổ hồng,2,8.9 m,8.5 m,Nhà trống,,,,,,
4.7 tỷ,100 m²,3,2,Sổ đỏ,2,5 m,20 m,Nhà trống,,,,,,
5.1 tỷ,138 m²,4,4,Sổ hồng,3,8 m,17 m,Nhà trống,,,,,,
42 tỷ,550 m²,5,5,Sổ hồng,2,18 m,31 m,Nhà trống,,,,,,
2.75 tỷ,75 m²,5,3,Sổ đỏ,3,4 m,18.7 m,Đang ở,,,,,,
4.29 tỷ,79 m²,3,2,Sổ hồng,2,6 m,13 m,Đang ở,,,,,,
5.15 tỷ,137 m²,4,5,Sổ đỏ,3,8 m,18.2 m,Nhà trống,,,,,,
5.1 tỷ,137 m²,4,5,Sổ đỏ,3,8 m,18 m,Nhà trống,,,,,,
4.6 tỷ,98 m²,2,2,Sổ đỏ,2,4.5 m,21.65 m,Nhà trống,,,,,,
18.5 tỷ,100 m²,5,4,Sổ hồng,3,4.5 m,22.4 m,Đang ở,,,,,,
5.19 tỷ,138 m²,4,4,Sổ hồng,3,8 m,17 m,Đang ở,,,,,,
